OrderHeaderID,ProductID,Quantity,UnitPrice,VolumePoint,BeforeDiscTaxAmount,AfterDiscTaxAmount,Discount,CreatedOn,CreatedBy,UpdatedOn,UpdatedBy,IsDeleted,OrderDetailID,RetailEarnbase,DiscEarnbase,DiscVolumePoint
2267707,15,4,217.95,23.50,37.05,37.05,0.00,2012-06-11 02:12:42.930,"AmyQD                                             ",NULL,NULL,0,10468819,0.00,0.00,0.00
2268092,35,5,85.47,0.00,14.53,14.53,0.00,2012-06-11 04:04:27.717,"EmmaSHJA                                          ",NULL,NULL,0,10470601,0.00,0.00,0.00
2270812,500,3,281.20,23.95,47.80,47.80,0.00,2012-06-12 06:39:35.067,"EmmaSHJA                                          ",NULL,NULL,0,10483159,0.00,0.00,0.00
2270812,148,2,853.85,89.95,145.15,145.15,0.00,2012-06-12 06:39:35.067,"EmmaSHJA                                          ",NULL,NULL,0,10483160,0.00,0.00,0.00
2270812,11,10,186.33,22.00,31.68,31.68,0.00,2012-06-12 06:39:35.067,"EmmaSHJA                                          ",NULL,NULL,0,10483161,0.00,0.00,0.00
2270812,15,8,217.95,23.50,37.05,37.05,0.00,2012-06-12 06:39:35.067,"EmmaSHJA                                          ",NULL,NULL,0,10483162,0.00,0.00,0.00
2270812,92,10,141.89,13.25,24.12,24.12,0.00,2012-06-12 06:39:35.067,"EmmaSHJA                                          ",NULL,NULL,0,10483163,0.00,0.00,0.00
2270812,44,2,116.24,14.00,19.76,19.76,0.00,2012-06-12 06:39:35.067,"EmmaSHJA                                          ",NULL,NULL,0,10483164,0.00,0.00,0.00
2270812,6,2,169.24,16.00,28.77,28.77,0.00,2012-06-12 06:39:35.067,"EmmaSHJA                                          ",NULL,NULL,0,10483165,0.00,0.00,0.00
2270812,143,5,76.93,6.80,13.08,13.08,0.00,2012-06-12 06:39:35.067,"EmmaSHJA                                          ",NULL,NULL,0,10483166,0.00,0.00,0.00
2284997,4,5,204.28,20.00,34.73,34.73,0.00,2012-06-19 04:07:10.840,"AmyQD                                             ",NULL,NULL,0,10549452,0.00,0.00,0.00
2284997,143,1,76.93,6.80,13.08,13.08,0.00,2012-06-19 04:07:10.840,"AmyQD                                             ",NULL,NULL,0,10549453,0.00,0.00,0.00
2284997,11,5,186.33,22.00,31.68,31.68,0.00,2012-06-19 04:07:10.840,"AmyQD                                             ",NULL,NULL,0,10549454,0.00,0.00,0.00
2284997,15,5,217.95,23.50,37.05,37.05,0.00,2012-06-19 04:07:10.840,"AmyQD                                             ",NULL,NULL,0,10549455,0.00,0.00,0.00
2284997,7,2,176.93,20.50,30.08,30.08,0.00,2012-06-19 04:07:10.840,"AmyQD                                             ",NULL,NULL,0,10549456,0.00,0.00,0.00
