OrderHeaderID,CustomerProfileID,StoreOrderID,ProcStoreID,ShipStoreID,OrderStatusID,SalesChannelID,OrderMonth,TotalAmount,TotalVolumePoint,TotalDiscount,BeforeDiscTaxAmount,AfterDiscTaxAmount,RoundingAdjust,PromotionAmount,TotalDue,FullProdRetail,DiscProdRetail,LiteratureAmt,AOPAmount,TotalPayment,DiscountPct,OrderDate,NTSDate,PaidDate,ShipDate,ShippingInstruction,RoyalProcessedInd,Comment,UpdateCount,CreatedOn,CreatedBy,UpdatedOn,UpdatedBy,IsDeleted,IsPosOrder,DonationAmount,DonationAmount2,PCOrderFlag,ReferralID,RCOrderFlag
2267707,648878,00073211,200,200,81,WI,201708,871.80,94.00,0.00,148.20,148.20,0.00,0.00,1020.00,871.80,871.80,0.00,0.00,0.00,0.00,2012-06-10 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-06-11 02:12:42.890,AmyQD,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2268092,15320,00120106,260,260,81,WI,201708,427.35,0.00,0.00,72.65,72.65,0.00,0.00,500.00,0.00,0.00,427.35,0.00,0.00,0.00,2012-06-10 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-06-11 04:04:27.680,EmmaSHJA,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2270812,645153,00120208,260,260,81,WI,201708,8532.71,886.25,0.00,1450.56,1450.56,0.00,0.00,9983.00,8532.71,8532.71,0.00,0.00,0.00,0.00,2012-06-11 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-06-12 06:39:35.040,EmmaSHJA,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2284997,694265,00073646,200,200,81,WI,201708,12369.50,1195.50,0.00,2102.78,2102.78,0.00,0.00,14472.00,12369.50,12369.50,0.00,0.00,0.00,0.00,2012-06-18 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-06-19 04:07:10.793,AmyQD,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2285684,689166,00120370,220,220,81,WI,201708,141.89,13.25,0.00,24.12,24.12,0.00,0.00,166.00,141.89,141.89,0.00,0.00,166.00,0.00,2012-06-18 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-06-19 06:26:54.923,BenGZ,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2317428,629781,00001103,1,1,81,WI,201708,241.03,21.50,0.00,40.98,40.98,0.00,0.00,282.00,241.03,241.03,0.00,0.00,0.00,0.00,2012-06-29 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-06-30 12:56:09.270,helpdeskchina,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2319674,577421,00024571,600,600,81,WI,201708,2866.72,280.30,0.00,487.34,487.34,0.00,0.00,3354.00,2844.48,2844.48,0.00,22.24,0.00,0.00,2012-06-30 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-07-01 05:00:43.903,MayCC,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2319717,664643,00024573,600,600,81,WI,201708,1355.56,128.95,0.00,230.44,230.44,0.00,0.00,1586.00,1355.56,1355.56,0.00,0.00,0.00,0.00,2012-06-30 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-07-01 05:19:30.060,MayCC,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2319722,664643,00024574,600,600,81,WI,201708,1355.56,128.95,0.00,230.44,230.44,0.00,0.00,1586.00,1355.56,1355.56,0.00,0.00,0.00,0.00,2012-06-30 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-07-01 05:21:09.060,MayCC,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2320779,694877,00024584,600,600,81,WI,201708,3409.44,339.70,0.00,579.59,579.59,0.00,0.00,3989.00,3409.44,3409.44,0.00,0.00,0.00,0.00,2012-07-01 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-07-02 05:02:33.683,MayCC,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2320935,223467,00024591,600,600,81,WI,201708,562.40,47.90,0.00,95.60,95.60,0.00,0.00,658.00,562.40,562.40,0.00,0.00,0.00,0.00,2012-07-01 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-07-02 06:06:41.357,MayCC,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2321402,15320,00024593,600,600,81,WI,201708,176.93,20.50,0.00,30.08,30.08,0.00,0.00,207.00,176.93,176.93,0.00,0.00,0.00,0.00,2012-07-01 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-07-02 09:02:40.957,MayCC,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2321890,15320,00085918,400,400,81,WI,201708,85.47,0.00,0.00,14.53,14.53,0.00,0.00,100.00,0.00,0.00,85.47,0.00,0.00,0.00,2012-07-02 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-07-03 03:58:41.507,AnneHZ,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2322057,579070,00085925,400,400,81,WI,201708,383.78,35.00,0.00,65.24,65.24,0.00,0.00,449.00,358.12,358.12,0.00,25.66,0.00,0.00,2012-07-02 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-07-03 05:16:29.480,RoyHZ,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2322339,15320,00085937,400,400,81,WI,201708,85.47,0.00,0.00,14.53,14.53,0.00,0.00,100.00,0.00,0.00,85.47,0.00,0.00,0.00,2012-07-02 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-07-03 07:24:22.890,AnneHZ,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2325707,222801,00050385,163,163,81,WI,201708,0.86,0.00,0.00,0.15,0.15,0.00,0.00,1.00,0.00,0.00,0.00,0.86,0.00,0.00,2012-07-04 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-07-05 09:44:19.593,DannyWC,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2325891,15320,00050394,163,163,81,WI,201708,72.75,0.00,0.00,12.40,12.40,0.00,0.00,85.00,0.00,0.00,0.00,72.75,0.00,0.00,2012-07-05 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-07-06 02:10:21.247,DannyWC,NULL,NULL,0,1,NULL,NULL,0,NULL,0
2326127,653836,00074713,200,200,81,WI,201708,76.94,8.00,0.00,13.08,13.08,0.00,0.00,90.00,76.94,76.94,0.00,0.00,0.00,0.00,2012-07-05 16:00:00.000,NULL,NULL,NULL,,0,,0,2012-07-06 03:35:33.477,AmyQD,NULL,NULL,0,1,NULL,NULL,0,NULL,0
